index,Class,tweet
0,2,Kindly say bickering to kikuyus and kalenjins. The rest of the country with him.
1,2,Kindly remind them that we do not have thoroughbred Kikuyus but rather a mix of
2,2,Kindly look at Moses' statement. Where has he said I will kill u. Hmmmm.....guys stop putting words which weren't spoken.saying nitamzima Mimi doesn't mean hr is gona kill him. BT deal with him until he silences thru law
3,2,kindly like this page. WTF Fun facts Maasai are the only tribe in Kenya mentioned in the Bible...4 EXCLUSIVE...
4,2,Kindly kikuyus humble yourselves in 2022 and take this man back to sigoi where he belongs.
5,2,Kill the ignorant with facts. It's very difficult to understand why the elder Odinga is always mocked by majority of Kikuyus yet he's always been on their side
6,2,Kill business politicians kill people kill anything but you will never kill bright minds... luhya nation is standing firm.
7,2,Kill all the elephants? Uneasy truce between Maasai and nature - CNN.com
8,2,Kilifi Lamu Kwale and Mombasa. . Coast is a term used by Kikuyus Haters to creat fear of Economic isolation of The kikuyu People.
9,2,Kikuyus you are peaceful people i agree but you have costed us alot.... Kibaki did the same thing Uhuru is doing u know where it landed us
10,1,Kikuyus won't lecture us We All know who won Aug election if there's any neg. Preachers of doom.
11,2,Kikuyus with average mind take it literally when Uhuru calls him Mganga. Uhuru knows the guy is too smart to be ordinary
12,2,Kikuyus will suffer when Uhuru vacates the Presidency. Look How Kikuyu business men are murdered kidnapped &...
13,2,Kikuyus will not support Ruto 2022 it's just a matter of time. they will support Moi jr. as vise n Kikuyu as presso
14,2,Kikuyus will be the end of us
15,2,Kikuyus will be the biggest loosers they will demand back what kenyattas took from them once the common enemy is gone
16,2,Kikuyus who support raila and Luos who support Uhuru are here thinking their opinion is superior sham arguments Total valid
17,2,Kikuyus who support NASA (NRM) are outcasts in Central and are facing ejection thru Secession Bill...Ama mbadilishe majina muwe wajaluo
18,2,Kikuyu's who are the most victims chose to have a political marriage with kalenjins the perpetrators they r friend's
19,2,Kikuyus who are NASA supporters think they are best interests of this nation than the rest of us..
20,2,kikuyus who are majority & have businesses will suffer heavy losses if there is political instability because of kuria bigotry utterances
21,2,Kikuyus were the one demonstrating the other day themselves Nairobi has luhyas kambas and Kakamega people were demonstrating
22,2,Kikuyus were targeted jana. Several people lost their fingers because they had voting ink. is right. They started it all
23,2,Kikuyus we're notorious for sharing names even there's no relation. Our Gen Y parents are changing this tho.
24,2,kikuyus went forth to vote for a Luo MCA in Kiambu but tribalists like u are blind to the truth
25,2,Kikuyus we seriously need to talk how do you go ahead & butcher a car like that?
